,instrument_token,tradingsymbol,name,instrument_type,segment,exchange
94602,2490113,182D241122-TB,,EQ,NSE,NSE
94603,2115585,182D250822-TB,,EQ,NSE,NSE
94604,2331649,182D271022-TB,,EQ,NSE,NSE
94605,2027521,182D280722-TB,,EQ,NSE,NSE
94606,2233601,182D290922-TB,,EQ,NSE,NSE
94607,1933825,182D300622-TB,,EQ,NSE,NSE
94608,4331777,20MICRONS,20 MICRONS,EQ,NSE,NSE
94609,1025,21STCENMGM,21ST CENTURY MGMT SERVICE,EQ,NSE,NSE
94610,1420289,364D010922-TB,,EQ,NSE,NSE
94611,1792257,364D011222-TB,,EQ,NSE,NSE
94612,2052865,364D020223-TB,,EQ,NSE,NSE
94613,2135041,364D020323-TB,,EQ,NSE,NSE
94614,957697,364D020622-TB,,EQ,NSE,NSE
94615,1658113,364D021122-TB,,EQ,NSE,NSE
94616,2388481,364D040523-TB,,EQ,NSE,NSE
94617,1341953,364D040822-TB,,EQ,NSE,NSE
94618,1976321,364D050123-TB,,EQ,NSE,NSE
94619,2269185,364D060423-TB,,EQ,NSE,NSE
94620,1537025,364D061022-TB,,EQ,NSE,NSE
94621,1282817,364D070722-TB,,EQ,NSE,NSE
94622,1426945,364D080922-TB,,EQ,NSE,NSE
94623,1810433,364D081222-TB,,EQ,NSE,NSE
94624,2085121,364D090223-TB,,EQ,NSE,NSE
94625,2147329,364D090323-TB,,EQ,NSE,NSE
94626,965889,364D090622-TB,,EQ,NSE,NSE
94627,1683969,364D101122-TB,,EQ,NSE,NSE
94628,2420993,364D110523-TB,,EQ,NSE,NSE
94629,1369857,364D110822-TB,,EQ,NSE,NSE
94630,2003457,364D120123-TB,,EQ,NSE,NSE
94631,2298881,364D120423-TB,,EQ,NSE,NSE
94632,1568257,364D131022-TB,,EQ,NSE,NSE
94633,1292289,364D140722-TB,,EQ,NSE,NSE
94634,1459713,364D150922-TB,,EQ,NSE,NSE
94635,1833985,364D151222-TB,,EQ,NSE,NSE
94636,2100737,364D160223-TB,,EQ,NSE,NSE
94637,2178049,364D160323-TB,,EQ,NSE,NSE
94638,1182721,364D160622-TB,,EQ,NSE,NSE
94639,1729537,364D171122-TB,,EQ,NSE,NSE
94640,2440961,364D180523-TB,,EQ,NSE,NSE
94641,2010625,364D190123-TB,,EQ,NSE,NSE
94642,1388545,364D190822-TB,,EQ,NSE,NSE
94643,2321921,364D200423-TB,,EQ,NSE,NSE
94644,1591553,364D201022-TB,,EQ,NSE,NSE
94645,1304577,364D210722-TB,,EQ,NSE,NSE
94646,1472001,364D220922-TB,,EQ,NSE,NSE
94647,1874945,364D221222-TB,,EQ,NSE,NSE
94648,2115841,364D230223-TB,,EQ,NSE,NSE
94649,2200065,364D230323-TB,,EQ,NSE,NSE
94650,1228289,364D230622-TB,,EQ,NSE,NSE
94651,1775873,364D241122-TB,,EQ,NSE,NSE
94652,2491905,364D250523-TB,,EQ,NSE,NSE
94653,1403649,364D250822-TB,,EQ,NSE,NSE
94654,2028033,364D260123-TB,,EQ,NSE,NSE
94655,2332673,364D270423-TB,,EQ,NSE,NSE
94656,1629953,364D271022-TB,,EQ,NSE,NSE
94657,1325569,364D280722-TB,,EQ,NSE,NSE
94658,1512961,364D290922-TB,,EQ,NSE,NSE
94659,1934593,364D291222-TB,,EQ,NSE,NSE
94660,2233857,364D300323-TB,,EQ,NSE,NSE
94661,1258497,364D300622-TB,,EQ,NSE,NSE
94662,269057,396GS2022-GS,,EQ,NSE,NSE
94663,1595393,3IINFOLTD,3I INFOTECH,EQ,NSE,NSE
94664,121345,3MINDIA,3M INDIA,EQ,NSE,NSE
94665,2316289,3PLAND-BE,3P LAND HOLDINGS,EQ,NSE,NSE
94666,1438977,3RDROCK-IT,,EQ,NSE,NSE
94667,248321,415KL22-SG,,EQ,NSE,NSE
94668,903425,426GS2023-GS,,EQ,NSE,NSE
94669,5614337,439MH23-SG,,EQ,NSE,NSE
94670,5616129,445MH22-SG,,EQ,NSE,NSE
94671,242433,448GS2023-GS,,EQ,NSE,NSE
94672,5637377,449RJ23-SG,,EQ,NSE,NSE
94673,5387521,44HR23-SG,,EQ,NSE,NSE
94674,5431041,452BR23-SG,,EQ,NSE,NSE
94675,5659649,452TN22-SG,,EQ,NSE,NSE
94676,5700609,454BR23-SG,,EQ,NSE,NSE
94677,5615361,454MH22-SG,,EQ,NSE,NSE
94678,5701377,454RJ23-SG,,EQ,NSE,NSE
94679,5657857,454TN23-SG,,EQ,NSE,NSE
94680,1782273,456GS2023-GS,,EQ,NSE,NSE
94681,273665,45AS23-SG,,EQ,NSE,NSE
94682,5617921,463MH23-SG,,EQ,NSE,NSE
94683,5666049,463TN23-SG,,EQ,NSE,NSE
94684,1504257,469ML23-SG,,EQ,NSE,NSE
94685,1788417,473KA23-SG,,EQ,NSE,NSE
94686,1724417,474KA23-SG,,EQ,NSE,NSE
94687,5617409,476MH23-SG,,EQ,NSE,NSE
94688,741121,477KL23-SG,,EQ,NSE,NSE
94689,741889,477MP23-SG,,EQ,NSE,NSE
94690,1761793,47KA23-SG,,EQ,NSE,NSE
94691,72193,47KL22-SG,,EQ,NSE,NSE
94692,527873,485KL23-SG,,EQ,NSE,NSE
94693,5646849,489RJ23-SG,,EQ,NSE,NSE
94694,5728257,493BR23-SG,,EQ,NSE,NSE
94695,646913,494MP23-SG,,EQ,NSE,NSE
94696,1421825,495ML24-SG,,EQ,NSE,NSE
94697,1413889,497AS24-SG,,EQ,NSE,NSE
94698,5659137,499TN23-SG,,EQ,NSE,NSE
94699,5611009,503KL24-SG,,EQ,NSE,NSE
94700,5736705,505KL23-SG,,EQ,NSE,NSE
94701,5701121,505RJ24-SG,,EQ,NSE,NSE
94702,2049,507PY23-SG,,EQ,NSE,NSE
94703,2817,509CG23-SG,,EQ,NSE,NSE
94704,5605889,509KL23-SG,,EQ,NSE,NSE
94705,5736449,509TN23-SG,,EQ,NSE,NSE
94706,274177,512BR24-SG,,EQ,NSE,NSE
94707,269825,515GS2025-GS,,EQ,NSE,NSE
94708,528129,518KL24-SG,,EQ,NSE,NSE
94709,5736193,51BR23-SG,,EQ,NSE,NSE
94710,4857857,522GS2025-GS,,EQ,NSE,NSE
94711,192513,524AS24-SG,,EQ,NSE,NSE
94712,1678081,525AS24-SG,,EQ,NSE,NSE
94713,193281,527BR24-SG,,EQ,NSE,NSE
94714,2013185,527GJ24-SG,,EQ,NSE,NSE
94715,38913,528BR23-SG,,EQ,NSE,NSE
94716,309761,532AS25-SG,,EQ,NSE,NSE
94717,466177,532AS26-SG,,EQ,NSE,NSE
94718,309505,532CG25-SG,,EQ,NSE,NSE
94719,435201,532RJ25-SG,,EQ,NSE,NSE
94720,248577,535CG25-SG,,EQ,NSE,NSE
94721,387329,535RJ25-SG,,EQ,NSE,NSE
94722,213761,538CG25-SG,,EQ,NSE,NSE
94723,5643521,538RJ24-SG,,EQ,NSE,NSE
94724,779009,539GJ24-SG,,EQ,NSE,NSE
94725,5718785,539RJ24-SG,,EQ,NSE,NSE
94726,514817,539RJ25-SG,,EQ,NSE,NSE
94727,308993,53BR25-SG,,EQ,NSE,NSE
94728,72449,53RJ23-SG,,EQ,NSE,NSE
94729,5716737,540CG24-SG,,EQ,NSE,NSE
94730,5717505,541AP24-SG,,EQ,NSE,NSE
94731,434433,541GA25-SG,,EQ,NSE,NSE
94732,681473,542RJ24-SG,,EQ,NSE,NSE
